time_stamp,open,high,low,close,vol
2020-01-01,2.5837,2.6387,2.5763,2.6039,1836547.86
2020-01-02,2.6038,2.6098,2.4193,2.4593,4635138.96
2020-01-03,2.4594,2.6649,2.4303,2.6396,8349336.65
2020-01-04,2.6425,2.664,2.6168,2.6481,3575786.02
2020-01-05,2.648,2.7759,2.6461,2.6865,5235082.22
2020-01-06,2.6845,2.8602,2.6786,2.8506,7959989.44
2020-01-07,2.8506,2.889,2.7537,2.8459,8735473.69
2020-01-08,2.846,2.9692,2.7093,2.7751,12411099.37
2020-01-09,2.7759,2.7992,2.6925,2.7432,5052407.98
2020-01-10,2.7433,3.0054,2.65,2.9866,10802467.81
2020-01-11,2.9873,3.13,2.9351,2.9901,7763134.27
2020-01-12,2.9893,3.216,2.9335,3.2107,7411556.8
2020-01-13,3.2086,3.2106,3.0664,3.1049,5829335.13
2020-01-14,3.1048,4.08,3.1036,3.81,24830202.41
2020-01-15,3.81,3.9499,3.57,3.7675,18024689.4
2020-01-16,3.7695,3.9527,3.5243,3.8376,14724773.27
2020-01-17,3.8374,4.0786,3.7402,3.9038,19702658.83
2020-01-18,3.9042,4.0086,3.7037,3.8049,12576001.05
2020-01-19,3.8062,3.9414,3.4219,3.6115,12239661.44
2020-01-20,3.6133,3.7046,3.486,3.62,8084930.13
2020-01-21,3.6177,3.6916,3.5526,3.6527,6046161.61
2020-01-22,3.6544,3.7471,3.5861,3.654,5798540.24
2020-01-23,3.6533,3.6558,3.4936,3.5706,7019679.24
2020-01-24,3.5731,3.7039,3.3524,3.6345,8757294.59
2020-01-25,3.6344,3.637,3.4921,3.498,5119668.04
2020-01-26,3.4967,3.6666,3.4308,3.6486,6009232.41
2020-01-27,3.65,4.0596,3.6451,3.9647,11268425.52
2020-01-28,3.9618,4.1325,3.871,4.0412,12083323.83
2020-01-29,4.0408,4.1196,3.9556,3.9674,9832312.06
2020-01-30,3.9666,4.4,3.8907,4.3236,13114919.09
2020-01-31,4.3258,4.372,4.0222,4.1444,11211276.99
2020-02-01,4.1462,4.2649,4.0662,4.1531,7180598.14
2020-02-02,4.1546,4.3359,4.0435,4.2145,8252622.28
2020-02-03,4.2146,4.3756,4.1377,4.2027,8039733.68
2020-02-04,4.202,4.2708,4.0619,4.2306,6737639.29
2020-02-05,4.2307,4.5899,4.1758,4.5284,9824719.86
2020-02-06,4.5282,4.6755,4.4349,4.6038,9275897.45
2020-02-07,4.6001,4.7046,4.5148,4.5898,6853685.43
2020-02-08,4.5898,4.85,4.43,4.762,8079917.08
2020-02-09,4.7635,5.0463,4.7606,5.0111,8260536.45
2020-02-10,5.0068,5.045,4.7373,4.8986,9467467.46
2020-02-11,4.8959,5.3025,4.7925,5.2449,9187999.0
2020-02-12,5.2448,5.4622,5.24,5.3307,10153814.34
2020-02-13,5.334,5.4996,5.18,5.3607,11442756.38
2020-02-14,5.3634,5.4473,5.2339,5.3747,7266083.37
2020-02-15,5.376,5.3928,4.5066,4.7429,17939929.8
2020-02-16,4.7414,4.8611,4.0357,4.3812,22428937.94
2020-02-17,4.3781,4.4139,4.0285,4.3521,21497163.67
2020-02-18,4.3526,4.65,4.2504,4.5793,13137220.63
2020-02-19,4.5817,4.608,3.5991,3.9752,14361795.23
2020-02-20,3.9753,4.0624,3.7955,3.9963,18312077.01
2020-02-21,3.9953,4.1944,3.9483,4.0509,12343738.22
2020-02-22,4.0517,4.1589,3.9718,4.1004,7856751.88
2020-02-23,4.1002,4.4043,4.0845,4.3778,9517629.77
2020-02-24,4.3775,4.401,3.907,4.1221,15582623.29
2020-02-25,4.1221,4.2366,3.8996,4.0778,18727166.32
2020-02-26,4.0775,4.1104,3.2801,3.5344,29870705.38
2020-02-27,3.5365,3.7334,3.3867,3.6183,17337189.86
2020-02-28,3.617,3.6828,3.35,3.5136,14911636.49
2020-02-29,3.5132,3.6574,3.4961,3.5105,8261752.51
2020-03-01,3.5105,3.6528,3.4177,3.5075,9440171.53
2020-03-02,3.507,3.7596,3.4875,3.7133,9913563.68
2020-03-03,3.7134,3.7142,3.553,3.6233,8166660.46
2020-03-04,3.6237,3.6707,3.5187,3.5908,5970676.88
2020-03-05,3.5914,3.839,3.5906,3.7626,7663167.45
2020-03-06,3.7625,3.86,3.71,3.8345,5886072.58
2020-03-07,3.8343,3.8436,3.6154,3.6409,4905628.24
2020-03-08,3.6411,3.6411,2.9872,3.0435,17852278.09
2020-03-09,3.0443,3.1647,2.8482,3.0612,21487400.08
2020-03-10,3.06,3.1515,2.9935,3.0729,11642622.34
2020-03-11,3.0721,3.1168,2.8447,3.0661,11158701.97
2020-03-12,3.0663,3.0816,1.6998,1.7656,53123027.04
2020-03-13,1.7659,2.2328,1.3586,2.11,97392643.33
2020-03-14,2.11,2.1272,1.9292,1.958,23799686.69
2020-03-15,1.9576,2.1501,1.9384,2.0447,19776385.65
2020-03-16,2.0433,2.049,1.7174,1.8937,38934931.94
2020-03-17,1.8956,2.0307,1.8674,1.9684,20259585.49
